,ID,Date,Company,Title,Location,Link
112,,10/5/2021,Savills Vietnam Co. Ltd,data analyst intern,"Ho Chi Minh City, Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/data-analyst-intern-at-savills-vietnam-co-ltd-2779223153?refId=WbdKumCFoE2HgjnT1Z7XNA%3D%3D&trackingId=zW%2FcCyraWV1r%2FXwOd71W5w%3D%3D&position=6&pageNum=2&trk=public_jobs_jserp-result_search-card
113,gxykQZu/TjX/0usq2WHuHA==,9/17/2021,Admicro,data analyst (fresher),"Hanoi, Hanoi, Vietnam",https://vn.linkedin.com/jobs/view/data-analyst-fresher-at-admicro-2752646747?refId=WbdKumCFoE2HgjnT1Z7XNA%3D%3D&trackingId=gxykQZu%2FTjX%2F0usq2WHuHA%3D%3D&position=9&pageNum=2&trk=public_jobs_jserp-result_search-card
114,DngoA2KTE93+p2GZAE+6BQ==,11/1/2021,EcoTruck - Ecosystem for Trucking,"data engineer (database, python, mysql)","Phú Nhuận, Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/data-engineer-database-python-mysql-at-ecotruck-ecosystem-for-trucking-2781159729?refId=WbdKumCFoE2HgjnT1Z7XNA%3D%3D&trackingId=DngoA2KTE93%2Bp2GZAE%2B6BQ%3D%3D&position=11&pageNum=2&trk=public_jobs_jserp-result_search-card
115,,10/17/2021,Prudential,senior data,"Ho Chi Minh City, Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/senior-data-at-prudential-2763424752?refId=WbdKumCFoE2HgjnT1Z7XNA%3D%3D&trackingId=9GEKNIWMawDC5iXXurxzhA%3D%3D&position=12&pageNum=2&trk=public_jobs_jserp-result_search-card
116,+oeQvdqCIqZe+MHTNH9jhg==,10/8/2021,One Mount,data scientist (hn/hcm based),"Hanoi, Hanoi, Vietnam",https://vn.linkedin.com/jobs/view/data-scientist-hn-hcm-based-at-one-mount-2741599025?refId=WbdKumCFoE2HgjnT1Z7XNA%3D%3D&trackingId=%2BoeQvdqCIqZe%2BMHTNH9jhg%3D%3D&position=14&pageNum=2&trk=public_jobs_jserp-result_search-card
117,qIFKFoeRti3Yf+utp8m8PA==,10/22/2021,MonetizeMore,remote data scientist,"Hanoi, Hanoi, Vietnam",https://vn.linkedin.com/jobs/view/remote-data-scientist-at-monetizemore-2769078575?refId=WbdKumCFoE2HgjnT1Z7XNA%3D%3D&trackingId=qIFKFoeRti3Yf%2Butp8m8PA%3D%3D&position=16&pageNum=2&trk=public_jobs_jserp-result_search-card
118,cTnGd1MIPDuglcDGzcET4g==,10/14/2021,Techcombank (TCB),head of data platform management (0421),"Hanoi, Hanoi, Vietnam",https://vn.linkedin.com/jobs/view/head-of-data-platform-management-0421-at-techcombank-tcb-2699220655?refId=WbdKumCFoE2HgjnT1Z7XNA%3D%3D&trackingId=cTnGd1MIPDuglcDGzcET4g%3D%3D&position=17&pageNum=2&trk=public_jobs_jserp-result_search-card
119,,10/13/2021,Fado.vn,data science intern,"Ho Chi Minh City, Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/data-science-intern-at-fado-vn-2754147431?refId=WbdKumCFoE2HgjnT1Z7XNA%3D%3D&trackingId=YdDptwyPgOpCNSLKb2syjg%3D%3D&position=18&pageNum=2&trk=public_jobs_jserp-result_search-card
120,T3sUOiHmIRNYjC+ohDIQEA==,10/28/2021,Orient Software Development Corp.,machine learning engineer,"Ho Chi Minh City, Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/machine-learning-engineer-at-orient-software-development-corp-2776791751?refId=WbdKumCFoE2HgjnT1Z7XNA%3D%3D&trackingId=T3sUOiHmIRNYjC%2BohDIQEA%3D%3D&position=20&pageNum=2&trk=public_jobs_jserp-result_search-card
121,,10/31/2021,KMS Solutions,"data engineer intern, kms solutions","Ho Chi Minh City, Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/data-engineer-intern-kms-solutions-at-kms-solutions-2780428892?refId=WbdKumCFoE2HgjnT1Z7XNA%3D%3D&trackingId=MtiTOoNDDY5919g2XXluwA%3D%3D&position=21&pageNum=2&trk=public_jobs_jserp-result_search-card
122,,10/23/2021,Singalarity,data operations (fresher/junior),"Hanoi, Hanoi, Vietnam",https://vn.linkedin.com/jobs/view/data-operations-fresher-junior-at-singalarity-2770303909?refId=WbdKumCFoE2HgjnT1Z7XNA%3D%3D&trackingId=AKeGFLxZPp2jq%2FFpxj%2BQFQ%3D%3D&position=23&pageNum=2&trk=public_jobs_jserp-result_search-card
123,J38IppJEzXmZqJq4fulv7Q==,10/28/2021,Gojek,research lead,"Ho Chi Minh City, Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/research-lead-at-gojek-2714549316?refId=wt7DcJYa0N9gFu67C48WdA%3D%3D&trackingId=J38IppJEzXmZqJq4fulv7Q%3D%3D&position=1&pageNum=3&trk=public_jobs_jserp-result_search-card
124,Aac1RwdFfWsRkuPi4FMQ0g==,10/14/2021,HTI Group,artificial intelligence engineer,"Quận Nam Từ Liêm, Hanoi, Vietnam",https://vn.linkedin.com/jobs/view/artificial-intelligence-engineer-at-hti-group-2750164868?refId=wt7DcJYa0N9gFu67C48WdA%3D%3D&trackingId=Aac1RwdFfWsRkuPi4FMQ0g%3D%3D&position=5&pageNum=3&trk=public_jobs_jserp-result_search-card
125,EgPZcRnnI81JLk+MEixMUQ==,10/7/2021,CIBC,business systems analyst,"Cà Mau, Vietnam",https://vn.linkedin.com/jobs/view/business-systems-analyst-at-cibc-2748231789?refId=wt7DcJYa0N9gFu67C48WdA%3D%3D&trackingId=EgPZcRnnI81JLk%2BMEixMUQ%3D%3D&position=9&pageNum=3&trk=public_jobs_jserp-result_search-card
